As_class,ts_soc,ts_silt,ts_ph,ts_clay,ts_cec,ss_soc,ss_silt,ss_ph,ss_clay,ss_cec,fluvisols,et0_yr,ai_et0,elevation,slope,precip,temp,distance_to_river,latitude,longitude
0,266,360,56,265,166,57,318,57,352,154,5,1487,14479,79,0.734494209,2154,24.06666629,294.4527149,26.63697647,93.51477866
1,303,312,58,326,177,64,314,59,349,153,5,1485,12445,110,0.734494209,1849,24.08333333,253.8644045,26.34710427,94.06041562
0,223,371,55,248,160,69,345,56,334,140,6,1487,14094,91,0.734494209,2097,24.07499981,2502.068305,26.61407229,93.62115608
1,257,354,56,287,188,59,310,58,372,150,6,1494,11765,119,0.734494209,1758,24.0999999,2102.381656,26.20557785,94.00488873
1,270,312,56,313,194,67,294,58,388,161,6,1490,12166,127,0.734494209,1813,24.03333314,924.8093322,26.28773806,94.05364093
1,305,311,56,279,164,90,280,57,374,146,6,1470,13802,103,0.734494209,2029,23.99999968,392.4115624,26.51950634,94.18888232
0,227,351,56,255,160,69,324,57,335,141,7,1483,14267,86,0.734494209,2116,24.05833308,1836.457553,26.62616824,93.65963388
1,265,323,57,311,174,60,291,59,396,148,7,1491,12044,122,0.734494209,1797,24.0666666,397.418428,26.26800421,94.02674807
1,267,308,56,316,199,66,289,58,396,162,7,1490,12166,125,0.734494209,1813,24.03333314,1277.911991,26.28971098,94.0563307
1,276,306,57,305,210,95,274,57,373,175,7,1484,12525,134,0.734494209,1860,24.00833305,1382.478333,26.33529149,94.11577977
1,293,320,56,285,208,122,270,57,410,177,7,1467,12835,132,0.734494209,1884,23.88333352,2316.797738,26.33930111,94.16801722
0,227,356,53,272,174,87,333,54,342,158,8,1476,13985,95,0.734494209,2065,23.94166692,420.6355876,26.58808355,93.6133084
1,236,320,53,250,180,65,290,53,352,154,8,1453,14514,103,0.734494209,2110,23.88333352,354.716451,26.5898285,94.2440265
1,240,328,56,276,182,99,281,57,395,150,8,1474,12793,127,0.734494209,1887,23.98333311,1624.689541,26.34657892,94.16145918
0,264,337,51,265,190,63,303,52,351,163,8,1485,14066,91,0.734494209,2089,24.04999971,1485.847227,26.61069195,93.73213522
1,267,298,56,272,183,77,267,57,373,155,8,1450,14108,124,0.734494209,2047,23.79166683,2435.937563,26.53097058,94.23219995
1,269,307,56,267,165,63,273,57,365,145,8,1473,13747,102,0.734494209,2026,24.04166651,1172.704561,26.52088556,94.17422543
